PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,Description
811,158.0,4,2,3,2-methylidenebutanedioic acid,-0.1,C5H6O4,130.1,C=C(CC(=O)O)C(=O)O,74.6,0,9,"Itaconic acid is a dicarboxylic acid that is methacrylic acid in which one of the methyl hydrogens is substituted by a carboxylic acid group. It has a role as a fungal metabolite and a human metabolite. It is a dicarboxylic acid, an olefinic compound and a dicarboxylic fatty acid. It is functionally related to a succinic acid. It is a conjugate acid of an itaconate(2-)."
813,0.0,0,0,0,potassium(1+),,K+,39.0983,[K+],0.0,1,1,"Potassium(1+) is a monoatomic monocation obtained from potassium. It has a role as a human metabolite and a cofactor. It is an alkali metal cation, an elemental potassium, a monovalent inorganic cation and a monoatomic monocation."
815,638.0,15,11,6,"2-(aminomethyl)-6-[4,6-diamino-3-[4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4,5-triol",-6.9,C18H36N4O11,484.5,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,283.0,0,33,
816,639.0,15,11,6,"5-amino-2-(aminomethyl)-6-[4,6-diamino-3-[4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4-diol",-7.2,C18H37N5O10,483.5,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N,288.0,0,33,
817,252.0,8,6,7,"4,5,6,7,8-pentahydroxy-2-oxooctanoic acid",-3.6,C8H14O8,238.19,C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O,156.0,0,16,
818,390.0,11,7,9,"4,5,6,7-tetrahydroxy-2-oxo-8-phosphonooxyoctanoic acid",-4.6,C8H15O11P,318.17,C(C(C(C(C(COP(=O)(O)O)O)O)O)O)C(=O)C(=O)O,202.0,0,20,
819,2580.0,30,16,67,"6-(1,2-dihydroxyethyl)-4,5-dihydroxy-2-[[6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]oxane-2-carboxylic acid",12.5,C76H142N2O30P2,1625.9,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)O)O)OC(=O)CC(CCCCCCCCCCC)O)O,510.0,0,110,
820,3410.0,38,19,84,"2-[2-carboxy-6-(1,2-dihydroxyethyl)-2-[[5-(3-dodecanoyloxytetradecanoylamino)-6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]-5-hydroxyoxan-4-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",15.9,C96H176N2O38P2,2028.4,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)O)OC4(CC(C(C(O4)C(CO)O)O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O,632.0,0,138,
821,3970.0,42,19,100,"2-[2-carboxy-6-(1,2-dihydroxyethyl)-2-[[5-(3-dodecanoyloxytetradecanoylamino)-6-[[3-hydroxy-6-[hydroxy(phosphonooxy)phosphoryl]oxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)oxan-2-yl]methoxy]-3-phosphonooxy-4-(3-tetradecanoyloxytetradecanoyloxy)oxan-2-yl]methoxy]-5-hydroxyoxan-4-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",21.6,C110H203N2O42P3,2318.7,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)(O)O)COC2(CC(C(C(O2)C(CO)O)O)OC3(CC(C(C(O3)C(CO)O)O)O)C(=O)O)C(=O)O)OCC4C(C(C(C(O4)OP(=O)(O)OP(=O)(O)O)NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,685.0,0,157,
822,3090.0,37,20,72,"2-[6-carboxy-2-(1,2-dihydroxyethyl)-4-hydroxy-6-[[6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]oxan-3-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",10.1,C84H154N2O37P2,1846.1,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)OC4(CC(C(C(O4)C(CO)O)O)O)C(=O)O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)O)O)OC(=O)CC(CCCCCCCCCCC)O)O,626.0,0,125,
823,241.0,6,3,8,"2-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxyethyl-trimethylazanium",-2.3,C8H21NO6P+,258.23,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,96.2,1,16,
824,82.5,3,2,3,2-aminopentanoic acid,,C5H11NO2,117.15,CCCC(C(=O)O)N,63.3,0,8,
825,125.0,4,3,1,4-hydroxypyrrolidine-2-carboxylic acid,-3.3,C5H9NO3,131.13,C1C(CNC1C(=O)O)O,69.6,0,9,
826,568.0,10,7,13,2-amino-6-[[4-(2-aminopropanoylamino)-4-carboxybutanoyl]amino]heptanedioic acid,-6.9,C15H26N4O8,390.39,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)O)C(=O)O)N,222.0,0,27,
827,76.1,5,5,4,"pentane-1,2,3,4,5-pentol",,C5H12O5,152.15,C(C(C(C(CO)O)O)O)O,101.0,0,10,
828,397.0,8,6,10,2-[[N'-(4-amino-4-carboxybutyl)carbamimidoyl]amino]butanedioic acid,-4.7,C10H18N4O6,290.27,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,188.0,0,20,
829,101.0,4,2,3,2-amino-4-oxobutanoic acid,-3.9,C4H7NO3,117.1,C(C=O)C(C(=O)O)N,80.4,0,8,
830,233.0,6,2,5,2-amino-3-(2-diazoacetyl)oxypropanoic acid,-3.2,C5H7N3O4,173.13,C(C(C(=O)O)N)OC(=O)C=[N+]=[N-],91.6,0,12,
831,240.0,6,3,4,2-(2-amino-2-carboxyethoxy)-2-hydroxyethenediazonium,-2.6,C5H8N3O4+,174.13,C(C(C(=O)O)N)OC(=C[N+]#N)O,121.0,1,12,
832,257.0,8,4,5,2-amino-4-oxo-4-phosphonooxybutanoic acid,-5.2,C4H8NO7P,213.08,C(C(C(=O)O)N)C(=O)OP(=O)(O)O,147.0,0,13,
833,171.0,4,4,5,2-amino-5-(carbamoylamino)pentanoic acid,,C6H13N3O3,175.19,C(CC(C(=O)O)N)CNC(=O)N,118.0,0,12,Citrulline is the parent compound of the citrulline class consisting of ornithine having a carbamoyl group at the N(5)-position. It has a role as a hapten and a Daphnia magna metabolite. It is a conjugate acid of a citrullinate.
834,212.0,7,4,7,2-amino-4-(2-amino-2-carboxyethyl)sulfanylbutanoic acid,-6.0,C7H14N2O4S,222.26,C(CSCC(C(=O)O)N)C(C(=O)O)N,152.0,0,14,Cystathionine is a modified amino acid generated by enzymic means from homocysteine and serine. It has a role as a metabolite. It is a member of cystathionines and an organic sulfide.
835,244.0,6,2,2,"5-(1,2-dihydroxyethyl)oxolane-2,3,4-trione",-1.0,C6H6O6,174.11,C(C(C1C(=O)C(=O)C(=O)O1)O)O,101.0,0,12,Dehydroascorbic acid is a tetrahydrofuranone. It has a role as a mouse metabolite. It is functionally related to an ascorbic acid. It is a conjugate acid of a dehydroascorbide(1-).
836,209.0,5,4,3,"2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",,C9H11NO4,197.19,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,104.0,0,14,"Dopa is a hydroxyphenylalanine carrying hydroxy substituents at positions 3 and 4 of the benzene ring. It has a role as a human metabolite. It is a hydroxyphenylalanine, a tyrosine derivative and a non-proteinogenic alpha-amino acid."
837,405.0,5,2,1,"5,6-dioxo-2,4-dihydro-1H-indole-2-carboxylic acid",-0.8,C9H7NO4,193.16,C1C2=CC(NC2=CC(=O)C1=O)C(=O)O,83.5,0,14,
838,154.0,4,4,3,"4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",,C9H13NO3,183.2,CNCC(C1=CC(=C(C=C1)O)O)O,72.7,0,13,Adrenaline is a racemate comprising equimolar amounts of (R)-adrenaline and (S)-adrenaline. It has a role as a human metabolite. It contains a (R)-adrenaline and a (S)-adrenaline.
839,168.0,6,4,4,2-amino-4-hydroxypentanedioic acid,-4.1,C5H9NO5,163.13,C(C(C(=O)O)N)C(C(=O)O)O,121.0,0,11,
840,139.0,5,4,0,"6-methyloxane-2,3,4,5-tetrol",-2.1,C6H12O5,164.16,CC1C(C(C(C(O1)O)O)O)O,90.2,0,11,
841,135.0,5,4,4,"1,3,4,5-tetrahydroxyhexan-2-one",-2.2,C6H12O5,164.16,CC(C(C(C(=O)CO)O)O)O,98.0,0,11,
842,284.0,7,5,7,2-amino-5-[(1-carboxy-2-sulfanylethyl)amino]-5-oxopentanoic acid,-3.8,C8H14N2O5S,250.27,C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N,131.0,0,16,
843,271.0,8,4,6,2-amino-5-oxo-5-phosphonooxypentanoic acid,,C5H10NO7P,227.11,C(CC(=O)OP(=O)(O)O)C(C(=O)O)N,147.0,0,14,Gamma-glutamyl phosphate is a glutamyl phosphate.
844,113.0,4,2,4,2-amino-5-oxopentanoic acid,,C5H9NO3,131.13,C(CC(C(=O)O)N)C=O,80.4,0,9,
845,221.0,6,4,5,[2-amino-3-(1H-imidazol-5-yl)propyl] dihydrogen phosphate,-4.6,C6H12N3O4P,221.15,C1=C(NC=N1)CC(COP(=O)(O)O)N,121.0,0,14,
846,255.0,5,3,4,2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,-2.2,C10H12N2O3,208.21,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,106.0,0,15,
847,148.0,5,2,4,2-amino-4-methylsulfinylbutanoic acid,,C5H11NO3S,165.21,CS(=O)CCC(C(=O)O)N,99.6,0,10,
848,130.0,4,3,3,"2,4-dihydroxy-3,3-dimethylbutanoic acid",-0.3,C6H12O4,148.16,CC(C)(CO)C(C(=O)O)O,77.8,0,10,
849,114.0,3,2,1,piperidine-2-carboxylic acid,,C6H11NO2,129.16,C1CCNC(C1)C(=O)O,49.3,0,9,Pipecolic acid is a piperidinemonocarboxylic acid in which the carboxy group is located at position C-2. It is a conjugate acid of a pipecolate.
850,234.0,8,5,6,"(2,3,5-trihydroxy-4-oxopentyl) dihydrogen phosphate",-3.7,C5H11O8P,230.11,C(C(C(C(=O)CO)O)O)OP(=O)(O)O,145.0,0,14,
851,75.3,3,2,2,2-amino-3-selanylpropanoic acid,,C3H7NO2Se,168.06,C(C(C(=O)O)N)[SeH],63.3,0,7,
852,156.0,5,3,3,2-amino-3-methylbutanedioic acid,-3.3,C5H9NO4,147.13,CC(C(C(=O)O)N)C(=O)O,101.0,0,10,2-Amino-3-methylsuccinic acid is a racemate.
853,420.0,5,3,5,"2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",2.4,C15H11I4NO4,776.87,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,92.8,0,24,"Thyroxine is an iodothyronine compound having iodo substituents at the 3-, 3'-, 5- and 5'-positions. It has a role as a mitogen. It is an iodothyronine, a 2-halophenol, an iodophenol, a tyrosine derivative and a non-proteinogenic alpha-amino acid. It is a tautomer of a thyroxine zwitterion."
854,104.0,5,4,4,"2,3,4,5-tetrahydroxypentanal",,C5H10O5,150.13,C(C(C(C(C=O)O)O)O)O,98.0,0,10,"2,3,4,5-tetrahydroxypentanal is a pentose, a polyol and a hydroxyaldehyde."
855,33.9,2,1,1,2-hydroxypropanal,-0.5,C3H6O2,74.08,CC(C=O)O,37.3,0,5,Lactaldehyde is a member of the class of propanals obtained by the reduction of the carboxylic group of lactic acid (2-hydroxypropanoic acid). It has a role as a mouse metabolite. It is a hydroxyaldehyde and a member of propanals.
856,767.0,1,1,4,"4,4,10,13,14-pentamethyl-17-(6-methylhept-5-en-2-yl)-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",8.9,C30H50O,426.7,CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,20.2,0,31,
857,101.0,3,2,3,2-amino-4-methylpentanoic acid,,C6H13NO2,131.17,CC(C)CC(C(=O)O)N,63.3,0,9,Leucine is a branched-chain amino acid that consists of glycine in which one of the hydrogens attached to the alpha-carbon is substituted by an isobutyl group. It has a role as a Daphnia magna metabolite. It is a branched-chain amino acid and an alpha-amino acid. It contains an isobutyl group. It is a conjugate base of a leucinium. It is a conjugate acid of a leucinate.
858,388.0,2,0,6,"4-[3-(3-cyclohepta-2,5-dien-1-ylideneprop-1-enyl)oxiran-2-yl]butanal",2.8,C16H20O2,244.33,C1C=CCC(=CC=CC2C(O2)CCCC=O)C=C1,29.6,0,18,
859,980.0,10,6,25,"6-[2-[(4-amino-4-carboxybutanoyl)amino]-3-oxo-3-(2-oxopropylamino)propyl]sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid",0.8,C31H49N3O8S,623.8,CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)NCC(=O)C)NC(=O)CCC(C(=O)O)N,221.0,0,43,
860,301.0,2,1,13,"octadeca-9,12,15-trienoic acid",,C18H30O2,278.4,CCC=CCC=CCC=CCCCCCCCC(=O)O,37.3,0,20,
861,402.0,5,3,5,"2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoic acid",1.7,C15H12I3NO4,650.97,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,92.8,0,23,
862,2080.0,23,12,62,[3-hydroxy-2-[[6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-5-phosphonooxyoxan-2-yl]oxymethyl]-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate,14.4,C68H130N2O23P2,1405.7,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)COC2C(C(C(C(O2)CO)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)O)O)OC(=O)CC(CCCCCCCCCCC)O)O,393.0,0,95,
863,152.0,3,1,5,5-(dithiolan-3-yl)pentanamide,1.0,C8H15NOS2,205.3,C1CSSC1CCCCC(=O)N,93.7,0,12,
864,150.0,4,1,5,5-(dithiolan-3-yl)pentanoic acid,1.7,C8H14O2S2,206.3,C1CSSC1CCCCC(=O)O,87.9,0,12,
865,175.0,6,4,6,"2,6-diaminoheptanedioic acid",-5.9,C7H14N2O4,190.2,C(CC(C(=O)O)N)CC(C(=O)O)N,127.0,0,13,
866,106.0,4,3,5,"2,6-diaminohexanoic acid",,C6H14N2O2,146.19,C(CCN)CC(C(=O)O)N,89.3,0,10,
867,83.1,4,2,2,propanedioic acid,,C3H4O4,104.06,C(C(=O)O)C(=O)O,74.6,0,7,
868,66.4,3,1,2,3-oxopropanoic acid,-0.6,C3H4O3,88.06,C(C=O)C(=O)O,54.4,0,6,
869,1490.0,24,10,22,"3-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-oxopropanoic acid",,C24H38N7O19P3S,853.6,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,426.0,0,54,
870,918.0,21,14,10,"2-[6-[4,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",-9.0,C24H42O21,666.6,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O,348.0,0,45,
871,641.0,16,11,7,"2-[4,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",-6.9,C18H32O16,504.4,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,269.0,0,34,
872,382.0,11,8,4,"6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxane-2,3,4,5-tetrol",-4.7,C12H22O11,342.3,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,190.0,0,23,Polydextrose is a glycoside.
873,156.0,3,2,3,3-(2-hydroxyphenyl)propanoic acid,,C9H10O3,166.17,C1=CC=C(C(=C1)CCC(=O)O)O,57.5,0,12,"3-(2-hydroxyphenyl)propanoic acid is a monocarboxylic acid that is propionic acid in which one of the hydrogens at position 3 is substituted by a 2-hydroxyphenyl group. It has a role as a human xenobiotic metabolite, a bacterial xenobiotic metabolite, a fungal xenobiotic metabolite and a plant metabolite. It is a member of phenols and a monocarboxylic acid. It is functionally related to a propionic acid. It is a conjugate acid of a 3-(2-hydroxyphenyl)propanoate."
874,168.0,4,2,2,2-methylbut-2-enedioic acid,-0.1,C5H6O4,130.1,CC(=CC(=O)O)C(=O)O,74.6,0,9,
875,134.0,6,4,3,"2,3-dihydroxybutanedioic acid",-1.9,C4H6O6,150.09,C(C(C(=O)O)O)(C(=O)O)O,115.0,0,10,"2,3-dihydroxybutanedioic acid is a tetraric acid that is butanedioic acid substituted by hydroxy groups at positions 2 and 3. It has a role as a human xenobiotic metabolite and a plant metabolite. It is a conjugate acid of a 3-carboxy-2,3-dihydroxypropanoate."
876,97.0,4,2,4,2-amino-4-methylsulfanylbutanoic acid,,C5H11NO2S,149.21,CSCCC(C(=O)O)N,88.6,0,9,"Methionine is a sulfur-containing amino acid that is butyric acid bearing an amino substituent at position 2 and a methylthio substituent at position 4. It has a role as an Escherichia coli metabolite, a Saccharomyces cerevisiae metabolite, a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is an alpha-amino acid and a sulfur-containing amino acid. It is functionally related to a butyric acid. It is a conjugate base of a methioninium. It is a conjugate acid of a methioninate. It is a tautomer of a methionine zwitterion."
877,1480.0,22,9,21,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylprop-2-enethioate",,C25H40N7O17P3S,835.6,CC(=C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389.0,0,53,
878,2.0,1,1,0,methanethiol,0.5,CH4S,48.11,CS,1.0,0,2,Methanethiol is an alkanethiol. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite.
879,1270.0,16,9,26,"7-[[4-[[4-[2-[4-[[5-(aminomethyl)furan-3-yl]methoxy]phenyl]ethylamino]-1-carboxy-4-oxobutyl]amino]-1-carboxy-4-oxobutyl]amino]-7-oxoheptane-1,3,4-tricarboxylic acid",-3.7,C34H44N4O15,748.7,C1=CC(=CC=C1CCNC(=O)CCC(C(=O)O)NC(=O)CCC(C(=O)O)NC(=O)CCC(C(CCC(=O)O)C(=O)O)C(=O)O)OCC2=COC(=C2)CN,322.0,0,53,
880,55.9,2,0,1,2-oxopropanal,-0.4,C3H4O2,72.06,CC(=O)C=O,34.1,0,5,"Methylglyoxal is a 2-oxo aldehyde derived from propanal. It has a role as a human metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a 2-oxo aldehyde and a member of propanals."
881,0.0,1,0,0,carbanide,0.6,CH3-,15.035,[CH3-],0.0,-1,1,Methanide is a hydrocarbyl anion. It is a conjugate base of a methane. It is a conjugate acid of a methanediide.
887,2.0,1,1,0,methanol,-0.5,CH4O,32.042,CO,20.2,0,2,
888,0.0,0,0,0,magnesium(2+),,Mg+2,24.305,[Mg+2],0.0,2,1,
890,818.0,24,12,12,"(2,3,4,5,6-pentaphosphonooxycyclohexyl) dihydrogen phosphate",-10.3,C6H18O24P6,660.04,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,401.0,0,36,
891,264.0,6,2,5,3-methoxycarbonylpent-2-enedioic acid,-0.6,C7H8O6,188.13,COC(=O)C(=CC(=O)O)CC(=O)O,101.0,0,13,
892,104.0,6,6,0,"cyclohexane-1,2,3,4,5,6-hexol",-3.7,C6H12O6,180.16,C1(C(C(C(C(C1O)O)O)O)O)O,121.0,0,12,
893,131.0,4,1,3,2-methylsulfanylethanesulfonic acid,-0.2,C3H8O3S2,156.2,CSCCS(=O)(=O)O,88.1,0,8,Methyl-CoM is a S-substituted coenzyme M. It is a conjugate acid of a methyl-CoM(1-).
894,469.0,10,6,6,"2-[[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]amino]benzoic acid",-1.2,C12H16NO9P,349.23,C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O,166.0,0,23,
895,220.0,4,3,11,6-(6-aminohexanoylamino)hexanoic acid,-2.1,C12H24N2O3,244.33,C(CCC(=O)NCCCCCC(=O)O)CCN,92.4,0,17,N-(6-aminohexanoyl)-6-aminohexanoic acid is the N-(6-aminohexanoyl) derivative of 6-aminohexanoic acid It is functionally related to a hexanoic acid. It is a conjugate acid of a N-(6-aminohexanoyl)-6-aminohexanoate. It is a tautomer of a N-(6-aminohexanoyl)-6-aminohexanoic acid zwitterion.
896,270.0,2,2,4,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,,C13H16N2O2,232.28,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,54.1,0,17,"Melatonin is a member of the class of acetamides that is acetamide in which one of the hydrogens attached to the nitrogen atom is replaced by a 2-(5-methoxy-1H-indol-3-yl)ethyl group. It is a hormone secreted by the pineal gland in humans. It has a role as a hormone, an anticonvulsant, an immunological adjuvant, a radical scavenger, a central nervous system depressant, a human metabolite, a mouse metabolite and a geroprotector. It is a member of acetamides and a member of tryptamines. It is functionally related to a tryptamine."
897,237.0,6,5,2,"N-[2-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",,C8H16N2O5,220.22,CC(=O)NC1C(C(C(OC1N)CO)O)O,125.0,0,15,
898,371.0,9,6,4,"(5-acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",-4.2,C8H16NO9P,301.19,CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O,166.0,0,19,
899,235.0,6,5,2,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",,C8H15NO6,221.21,CC(=O)NC1C(C(C(OC1O)CO)O)O,119.0,0,15,N-acetylhexosamine is a N-acyl-hexosamine.
900,371.0,9,6,4,"[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] dihydrogen phosphate",-3.7,C8H16NO9P,301.19,CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)O,166.0,0,19,N-acetyl-D-hexosamine 1-phosphate is a hexosamine phosphate having the phospho group at the 1-position. It is a conjugate acid of a N-acetyl-D-hexosamine 1-phosphate(2-).
901,361.0,8,4,7,2-acetamido-5-oxo-5-phosphonooxypentanoic acid,-2.3,C7H12NO8P,269.15,CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O,150.0,0,17,
902,158.0,4,3,4,4-acetamido-2-aminobutanoic acid,,C6H12N2O3,160.17,CC(=O)NCCC(C(=O)O)N,92.4,0,11,
903,257.0,2,3,3,N-[2-(5-hydroxy-1H-indol-3-yl)ethyl]acetamide,,C12H14N2O2,218.25,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,65.1,0,16,"N-acetylserotonin is an N-acylserotonin resulting from the formal condensation of the primary amino group of serotonin with the carboxy group of acetic acid. It has a role as a human metabolite, a mouse metabolite, an antioxidant and a tropomyosin-related kinase B receptor agonist. It is a member of acetamides, a member of phenols and a N-acylserotonin."
904,116.0,1,1,1,N-phenylacetamide,,C8H9NO,135.16,CC(=O)NC1=CC=CC=C1,29.1,0,10,N-phenylacetamide is a member of the class of acetamides that is acetamide in which one of the hydrogens attached to the nitrogen is substituted by a phenyl group. It has a role as an analgesic. It is a member of acetamides and an anilide. It is functionally related to an acetic acid.
905,190.0,4,2,5,2-acetamido-5-oxopentanoic acid,-1.0,C7H11NO4,173.17,CC(=O)NC(CCC=O)C(=O)O,83.5,0,12,
906,403.0,9,7,5,"5-acetamido-2,4-dihydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",-3.5,C11H19NO9,309.27,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,177.0,0,21,
907,170.0,4,3,5,2-acetamido-5-aminopentanoic acid,,C7H14N2O3,174.2,CC(=O)NC(CCCN)C(=O)O,92.4,0,12,N-Acetyl-ornithine is a N-acyl-amino acid.
